,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes,plot
2386,0.0,0.0644122383252818,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.3333333333333333,0.8430363787949652,0.9999999999999999,0.926172019195275,0.09523809523809523,0.6484994825802001,0.1565217391304348,0.5357142857142857,1.0,0.5219206680584552,1.0,2.3310023310023313e-05,1.0,0.8571428571428571,0.0,0.6666666666666666,0.3181818181818182,0.0,0.2,0.375,4.0
691,0.03488372093023256,0.08103864734299518,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.0,0.14704028305915368,0.07692307692307693,0.07715023994093761,0.19047619047619047,0.13567896975968724,0.1565217391304348,0.0,0.0,0.020876826722338204,0.25,0.007770007770007771,1.0,0.7999999999999999,0.5825242718446602,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,1.0
2798,0.023255813953488372,0.08051529790660225,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.6666666666666665,0.17573255790308479,0.07692307692307693,0.1509782207456626,0.19047619047619047,0.1402782568701851,0.1565217391304348,0.07142857142857142,0.0,0.0,0.0,0.00038850038850038855,0.5,0.7999999999999999,0.4174757281553398,0.3333333333333333,0.0,0.0,0.0,0.0,7.0
2535,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.9999999999999999,1.0000000000000002,0.0,0.616304472806715,0.3652173913043478,0.42857142857142855,1.0,0.4384133611691023,0.0,0.00038850038850038855,0.5,0.8571428571428571,0.0,0.6666666666666666,0.09090909090909091,0.0,0.0,0.1875,4.0
1989,0.0,0.040257648953301126,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.3333333333333333,0.22797242613416843,0.5128205128205128,0.5570321151716501,0.09523809523809523,0.36334368172933196,0.3652173913043478,1.0,0.75,0.6680584551148225,0.0,0.00038850038850038855,1.0,0.7999999999999999,0.0,0.6666666666666666,0.18181818181818182,0.1111111111111111,0.06666666666666667,0.25,4.0
788,0.023255813953488372,0.024154589371980676,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.0,0.14704028305915368,0.07692307692307693,0.07715023994093761,0.19047619047619047,0.13567896975968724,0.20869565217391306,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.7999999999999999,0.5825242718446602,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,1.0
734,0.023255813953488372,0.12077294685990338,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.0,0.11401671513105721,0.07692307692307693,0.07715023994093761,0.23809523809523808,0.15407611820167874,0.8260869565217391,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.7999999999999999,0.5339805825242718,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
502,0.13953488372093026,0.024154589371980676,0.013992318615444728,0.287833827893175,0.0,0.0,0.0,0.0,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.3130434782608696,0.42857142857142855,0.9749999999999999,1.0,0.0,0.00038850038850038855,0.0,0.7999999999999999,0.6601941747572815,0.3333333333333333,0.5,0.7777777777777777,0.2,0.125,2.0
3711,0.023255813953488372,0.08051529790660225,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.0,0.12420440449803771,0.10256410256410256,0.07715023994093761,0.23809523809523808,0.16787397953317235,0.1826086956521739,0.0,0.0,0.020876826722338204,0.25,0.011655011655011656,0.0,0.7999999999999999,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
4277,0.9767441860465116,0.03510466988727858,0.32269915847859026,0.34421364985163194,0.0,0.0,0.0,0.0,0.0,0.056672834861825644,0.12820512820512822,0.11406423034330013,0.3333333333333333,0.2207657813038979,0.10434782608695653,0.0,0.0,0.020876826722338204,0.0,0.0007770007770007771,0.0,0.5714285714285714,0.4854368932038835,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
